src-id,dst-id,label,properties
4,1,date-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3380"",""title"":""„Andlit snýr í austur“"",""__label"":""date-of-narration""}"
2187,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5552"",""title"":""Svipurinn í beitarhúsunum"",""__label"":""place-of-narration""}"
4211,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_10314"",""title"":""Sagnir Árna Jóhannessonar: XIX. Villudyr í Stóradal"",""__label"":""place-of-narration""}"
1610,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1388"",""title"":""Fúsi flyzt frá Leirulæk"",""__label"":""place-of-narration""}"
3796,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_525"",""title"":""Barnafoss"",""__label"":""place-of-narration""}"
158,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_402"",""title"":""Kölski gaf skólapilti næmi"",""__label"":""place-of-narration""}"
4125,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_378"",""title"":""Holtsá og Steinalækur"",""__label"":""place-of-narration""}"
3886,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1081"",""title"":""Álfasmalinn í Arnarbælisskógi"",""__label"":""place-of-narration""}"
725,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4439"",""title"":""Klukka"",""__label"":""place-of-narration""}"
3928,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3410"",""title"":""Af Ísfeld snikkara, Mennirnir á Flateynni."",""__label"":""place-of-narration""}"
1304,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_4875"",""title"":""Gamla-Kambsrétt"",""__label"":""place-of-narration""}"
2714,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1512"",""title"":""Skoffín og skuggabaldur"",""__label"":""place-of-narration""}"
4492,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_168"",""title"":""Kráka tröllskessa"",""__label"":""place-of-narration""}"
862,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_8552"",""title"":""Vitrun Björns Vigfússonar frá Gullberastöðum"",""__label"":""place-of-narration""}"
3176,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_680"",""title"":""Sigríður Eyjafjarðarsól og Jórunn systir hennar"",""__label"":""place-of-narration""}"
4431,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1427"",""title"":""Tyrkjar koma í Krýsuvík"",""__label"":""place-of-narration""}"
1824,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_2_2800"",""title"":""Séra Stefán á Kálfatjörn og Nikólína á Vatnsleysuströnd."",""__label"":""place-of-narration""}"
2735,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_8443"",""title"":""Hallgrímur Eyfirðingur"",""__label"":""place-of-narration""}"
3843,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4293"",""title"":""Reimleikinn í Glaumbæ"",""__label"":""place-of-narration""}"
465,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4202"",""title"":""Blóðbrekkur"",""__label"":""place-of-narration""}"
2805,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_504"",""title"":""Þorkatla og Járngerður"",""__label"":""place-of-narration""}"
4231,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5699"",""title"":""Huldustúlka kallar á ferju"",""__label"":""place-of-narration""}"
2779,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1894"",""title"":""Skessan í Húsagili"",""__label"":""place-of-narration""}"
3763,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_5041"",""title"":""Messugjörð hjá huldufólki"",""__label"":""place-of-narration""}"
1912,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_5_2093"",""title"":""Kirkjugarðsviðurinn, b."",""__label"":""place-of-narration""}"
596,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_5013"",""title"":""Þáttur af Ólafi Sigurðssyni í Húsagarði III."",""__label"":""place-of-narration""}"
2829,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3523"",""title"":""Útburður í Bugum"",""__label"":""place-of-narration""}"
1209,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_606"",""title"":""„Við embættismannakonurnar“"",""__label"":""place-of-narration""}"
3144,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_63"",""title"":""Barnið og álfkonan"",""__label"":""place-of-narration""}"
1704,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_5002"",""title"":""Höskuldur og Jón á Hrauni"",""__label"":""place-of-narration""}"
1986,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_2_2791"",""title"":""Gröfin (Skiptapinn við Vestmannaeyjar hinn 16. mai 1901: VIII)"",""__label"":""place-of-narration""}"
4700,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_631"",""title"":""Hljóðið við Landmannahelli"",""__label"":""place-of-narration""}"
4550,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4385"",""title"":""Kýr hjá Miðhúsum"",""__label"":""place-of-narration""}"
1071,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_170"",""title"":""Loppa og Jón Loppufóstri"",""__label"":""place-of-narration""}"
1668,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_1997"",""title"":""Einar í Hlöðuvík"",""__label"":""place-of-narration""}"
2462,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_20_4675"",""title"":""Jóhannes á Kirkjubóli. Frá Jóhannesi og Guðmundi í Skógum"",""__label"":""place-of-narration""}"
2117,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1264"",""title"":""Skáneyjar-Grímur"",""__label"":""place-of-narration""}"
1087,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_6_2894"",""title"":""Eiríkur heimski"",""__label"":""place-of-narration""}"
2296,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_264"",""title"":""Brúsahaugur"",""__label"":""place-of-narration""}"
4621,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1154"",""title"":""Hleiðrargarðs-Skotta"",""__label"":""place-of-narration""}"
3841,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1485"",""title"":""Mannshöfuðið"",""__label"":""place-of-narration""}"
4115,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4424"",""title"":""Sögn af Trölla Láfa"",""__label"":""place-of-narration""}"
3507,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1097"",""title"":""Torfalækjar-Jón"",""__label"":""place-of-narration""}"
2525,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5635"",""title"":""Skelkussabreiðan"",""__label"":""place-of-narration""}"
4116,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4430"",""title"":""Skrúðskampur"",""__label"":""place-of-narration""}"
3674,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_1_2685"",""title"":""Furðusögur: Rekið furðudýr á Kleifum í Steingrímsfirði."",""__label"":""place-of-narration""}"
77,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_12_2206"",""title"":""Dauðir menn vaða snjó"",""__label"":""place-of-narration""}"
2804,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_504"",""title"":""Þorkatla og Járngerður"",""__label"":""place-of-narration""}"
3100,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_12_2318"",""title"":""Sagan af Reykja-kisu"",""__label"":""place-of-narration""}"
3932,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_351"",""title"":""Geirishólar"",""__label"":""place-of-narration""}"
4493,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_168"",""title"":""Kráka tröllskessa"",""__label"":""place-of-narration""}"
4303,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_353"",""title"":""Kerlingaháls"",""__label"":""place-of-narration""}"
3750,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_14_5211"",""title"":""Atburðurinn á Okveginum"",""__label"":""place-of-narration""}"
1235,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_20_4762"",""title"":""Gullvogur"",""__label"":""place-of-narration""}"
2940,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_459"",""title"":""Grannagarður"",""__label"":""place-of-narration""}"
3088,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_1_2721"",""title"":""Svipurinn í Byrginu"",""__label"":""place-of-narration""}"
3971,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_6_2900"",""title"":""Björn sýslumaður Pétursson á Burstafelli"",""__label"":""place-of-narration""}"
3417,1,place-of-narration,"{""path"":""is.ismus.ISMUS_1013517"",""title"":""SÁM 91/2382 EF"",""__label"":""place-of-narration""}"
2568,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1458"",""title"":""Villan"",""__label"":""place-of-narration""}"
1744,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5244"",""title"":""Brynjubrekka"",""__label"":""place-of-narration""}"
2926,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3683"",""title"":""Leistur;C"",""__label"":""place-of-narration""}"
996,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3590"",""title"":""Flugandi"",""__label"":""place-of-narration""}"
4224,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_4892"",""title"":""Húsmúlakofinn"",""__label"":""place-of-narration""}"
1026,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_12_2172"",""title"":""Dauðinn húsvitjar"",""__label"":""place-of-narration""}"
3731,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1094"",""title"":""Jón Gissursson"",""__label"":""place-of-narration""}"
1014,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_10334"",""title"":""Sagnir Árna Jóhannessonar: Úr syrpu Baldvins frá Viðaseli. I. Frá Sigtryggi á Höfða. Ljósið þar."",""__label"":""place-of-narration""}"
2006,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_1_2715"",""title"":""Gullhamar í Garpsdal"",""__label"":""place-of-narration""}"
4533,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_4921"",""title"":""Harðindadraumur"",""__label"":""place-of-narration""}"
4141,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5738"",""title"":""Sveinn í Engidal"",""__label"":""place-of-narration""}"
2384,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4317"",""title"":""Jón Finnbogason"",""__label"":""place-of-narration""}"
4226,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_4879"",""title"":""Sjódraugur, er æpti hátt"",""__label"":""place-of-narration""}"
4159,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_6_3016"",""title"":""Umskiptingar 1606"",""__label"":""place-of-narration""}"
1197,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_821"",""title"":""„Ég loka samt\"""",""__label"":""place-of-narration""}"
1451,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4417"",""title"":""Birna og Skít-Oddur"",""__label"":""place-of-narration""}"
2690,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3494"",""title"":""Elín á Læk"",""__label"":""place-of-narration""}"
2176,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4302"",""title"":""Blótkelda"",""__label"":""place-of-narration""}"
963,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_560"",""title"":""Þorbjörn kólka"",""__label"":""place-of-narration""}"
2818,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4682"",""title"":""Frá Pétri Jökli"",""__label"":""place-of-narration""}"
4212,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_1_3107"",""title"":""Heimasætan að Ósi og huldumaðurinn"",""__label"":""place-of-narration""}"
2951,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_465"",""title"":""Gautavirki"",""__label"":""place-of-narration""}"
1017,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1166"",""title"":""Goggur"",""__label"":""place-of-narration""}"
