id,label,properties
4,date,"{""datetime"":""OOPS"",""__unique"":[""datetime""],""__label"":""date""}"
1,person,"{""name"":""OOPS"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2669,place,"{""name"":""Kálfafellskot"",""long"":""-17.699952"",""lat"":""63.941787"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
906,place,"{""name"":""Botn"",""long"":""-18.112999"",""lat"":""65.562048"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
853,place,"{""name"":""Kolbeinsnes við Húsavík"",""long"":""-13.646242"",""lat"":""65.414798"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3012,place,"{""name"":""Litli-Botn"",""long"":""-21.313352"",""lat"":""64.388102"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1401,place,"{""name"":""Ketilsstaðir, Jökulsárhlíð"",""long"":""-14.422297"",""lat"":""65.689915"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1516,place,"{""name"":""Geirólfsvík"",""long"":""-13.639664"",""lat"":""65.191769"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
751,place,"{""name"":""Eyjafjöll"",""long"":""-19.658473"",""lat"":""63.530491"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2774,place,"{""name"":""Arnarfellsmúlar"",""long"":""-18.68225"",""lat"":""64.637119"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4399,place,"{""name"":""Við kirkju"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4258,place,"{""name"":""Suðureyjar á Breiðafirði"",""long"":""-22.724153"",""lat"":""65.113044"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
231,place,"{""name"":""Auðnir"",""long"":""-18.522584"",""lat"":""65.602428"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4594,place,"{""name"":""Eskifjarðarnes"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1280,place,"{""name"":""Hvallátur við Rauðasand"",""long"":""-24.456552"",""lat"":""65.528091"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2059,place,"{""name"":""Ós, Hörgárdalur"",""long"":""-18.207155"",""lat"":""65.798291"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
467,place,"{""name"":""Nefbjarnarstaðir í Hróarstungu"",""long"":""-14.393834"",""lat"":""65.567431"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3051,place,"{""name"":""Urðakirkja"",""long"":""-18.693865"",""lat"":""65.86318"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2095,place,"{""name"":""Hjarðarból í Eyrarsveit"",""long"":""-23.146961"",""lat"":""64.973209"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3755,place,"{""name"":""Högnastaðir, Hrunamannahreppur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
592,place,"{""name"":""Klömbur"",""long"":""-20.704558"",""lat"":""65.472561"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1483,place,"{""name"":""Gull. og Kjós.: Hausastaðir"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2128,place,"{""name"":""Steinnes (Steinanes), Arnarfjörður"",""long"":""-23.478936"",""lat"":""65.687425"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2232,place,"{""name"":""Dyrhólaey"",""long"":""-19.124165"",""lat"":""63.403201"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1201,place,"{""name"":""Hvanná, Jökuldalur"",""long"":""-14.806434"",""lat"":""65.367627"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4718,place,"{""name"":""Sörlagil í Norðfirði"",""long"":""-13.919665"",""lat"":""65.120358"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1670,place,"{""name"":""Vatn"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
593,place,"{""name"":""Nykurtjörn upp af Garðshorni í Svarfaðardal"",""long"":""-18.634663"",""lat"":""65.92106"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1722,place,"{""name"":""Gunnarsklauf í Fellasveit"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4637,place,"{""name"":""Kagaðarhóll í Torfalækjarhreppi"",""long"":""-20.128868"",""lat"":""65.59068"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2736,place,"{""name"":""Sturlárrétt"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1786,place,"{""name"":""Hellisvatn hjá Steinum"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1350,place,"{""name"":""Vellir, Svarfaðardalur"",""long"":""-18.54325"",""lat"":""65.91981"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
