id,label,properties
4262,person,"{""name"":""Sagnir úr Skagafirði"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2705,person,"{""name"":""Sagnir úr Kjós"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4427,person,"{""name"":""Júlíus Jakobsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
344,person,"{""name"":""Konráð Erlendsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5209,person,"{""name"":""Magnús Helgason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8205,person,"{""name"":""Björn Hjörleifsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4438,person,"{""name"":""Guðbjörg Gísladóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9840,person,"{""name"":""Jónatan Daníelsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12800,person,"{""name"":""Halldór Jakobsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2422,person,"{""name"":""Sigurbjörg Gunnarsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5385,person,"{""name"":""Einar Gestsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12127,person,"{""name"":""Eiðaþinghæskar sagnir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
816,person,"{""name"":""Ingibjörg Níelsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5298,person,"{""name"":""Jóhanna Rósa Jónsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6946,person,"{""name"":""Jakob Jóhannsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5229,person,"{""name"":""Gísli Helgason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6602,person,"{""name"":""Magnús Vigfússon"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
