src-id,dst-id,label,properties
16006,284,date-of-narration,"{""__label"":""date-of-narration""}"
18144,628,date-of-narration,"{""__label"":""date-of-narration""}"
3514,1719,date-of-narration,"{""__label"":""date-of-narration""}"
3801,3536,date-of-narration,"{""__label"":""date-of-narration""}"
49,56,date-of-narration,"{""__label"":""date-of-narration""}"
11294,1377,date-of-narration,"{""__label"":""date-of-narration""}"
11339,8992,date-of-narration,"{""__label"":""date-of-narration""}"
14072,3665,date-of-narration,"{""__label"":""date-of-narration""}"
2545,2550,date-of-narration,"{""__label"":""date-of-narration""}"
17583,1606,date-of-narration,"{""__label"":""date-of-narration""}"
14493,4367,date-of-narration,"{""__label"":""date-of-narration""}"
10182,5706,date-of-narration,"{""__label"":""date-of-narration""}"
16696,1027,date-of-narration,"{""__label"":""date-of-narration""}"
17258,17260,date-of-narration,"{""__label"":""date-of-narration""}"
7570,2540,date-of-narration,"{""__label"":""date-of-narration""}"
18797,2189,date-of-narration,"{""__label"":""date-of-narration""}"
4648,2272,date-of-narration,"{""__label"":""date-of-narration""}"
19911,13682,date-of-narration,"{""__label"":""date-of-narration""}"
14578,2172,date-of-narration,"{""__label"":""date-of-narration""}"
9492,2835,date-of-narration,"{""__label"":""date-of-narration""}"
10068,10069,date-of-narration,"{""__label"":""date-of-narration""}"
18758,18759,date-of-narration,"{""__label"":""date-of-narration""}"
1553,172,date-of-narration,"{""__label"":""date-of-narration""}"
12535,9814,date-of-narration,"{""__label"":""date-of-narration""}"
6879,4004,date-of-narration,"{""__label"":""date-of-narration""}"
8091,201,date-of-narration,"{""__label"":""date-of-narration""}"
16247,151,date-of-narration,"{""__label"":""date-of-narration""}"
18186,21,date-of-narration,"{""__label"":""date-of-narration""}"
1507,1509,date-of-narration,"{""__label"":""date-of-narration""}"
11291,3848,date-of-narration,"{""__label"":""date-of-narration""}"
10252,10253,date-of-narration,"{""__label"":""date-of-narration""}"
13986,6920,date-of-narration,"{""__label"":""date-of-narration""}"
5136,5137,date-of-narration,"{""__label"":""date-of-narration""}"
18673,4289,date-of-narration,"{""__label"":""date-of-narration""}"
19332,5971,date-of-narration,"{""__label"":""date-of-narration""}"
14654,9384,date-of-narration,"{""__label"":""date-of-narration""}"
17985,5851,date-of-narration,"{""__label"":""date-of-narration""}"
18780,2629,date-of-narration,"{""__label"":""date-of-narration""}"
8798,3407,date-of-narration,"{""__label"":""date-of-narration""}"
1022,1027,date-of-narration,"{""__label"":""date-of-narration""}"
6198,4581,date-of-narration,"{""__label"":""date-of-narration""}"
16062,16063,date-of-narration,"{""__label"":""date-of-narration""}"
