id,label,properties
12495,date,"{""datetime"":""1938-10-24"",""__unique"":[""datetime""],""__label"":""date""}"
10923,date,"{""datetime"":""1925-09-06"",""__unique"":[""datetime""],""__label"":""date""}"
14299,date,"{""datetime"":""1927-07-12"",""__unique"":[""datetime""],""__label"":""date""}"
4957,date,"{""datetime"":""1923-09-03"",""__unique"":[""datetime""],""__label"":""date""}"
2835,date,"{""datetime"":""1935-08-20"",""__unique"":[""datetime""],""__label"":""date""}"
7123,date,"{""datetime"":""1914-04-07"",""__unique"":[""datetime""],""__label"":""date""}"
8166,date,"{""datetime"":""1935-09-16"",""__unique"":[""datetime""],""__label"":""date""}"
6714,date,"{""datetime"":""1910-12-30"",""__unique"":[""datetime""],""__label"":""date""}"
17796,date,"{""datetime"":""1916-08-05"",""__unique"":[""datetime""],""__label"":""date""}"
17260,date,"{""datetime"":""1923-03-31"",""__unique"":[""datetime""],""__label"":""date""}"
10931,date,"{""datetime"":""1927-07-08"",""__unique"":[""datetime""],""__label"":""date""}"
4752,date,"{""datetime"":""1928-08-15"",""__unique"":[""datetime""],""__label"":""date""}"
468,date,"{""datetime"":""1922-08-03"",""__unique"":[""datetime""],""__label"":""date""}"
11254,date,"{""datetime"":""1924-06-15"",""__unique"":[""datetime""],""__label"":""date""}"
17699,date,"{""datetime"":""1935-09-15"",""__unique"":[""datetime""],""__label"":""date""}"
1567,date,"{""datetime"":""1911-07-19"",""__unique"":[""datetime""],""__label"":""date""}"
2343,date,"{""datetime"":""1923-03-29"",""__unique"":[""datetime""],""__label"":""date""}"
2091,date,"{""datetime"":""1911-07-05"",""__unique"":[""datetime""],""__label"":""date""}"
356,date,"{""datetime"":""1896-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
2562,date,"{""datetime"":""1912-05-12"",""__unique"":[""datetime""],""__label"":""date""}"
13112,date,"{""datetime"":""1922-09-27"",""__unique"":[""datetime""],""__label"":""date""}"
886,date,"{""datetime"":""1929-08-11"",""__unique"":[""datetime""],""__label"":""date""}"
2316,date,"{""datetime"":""1910-02-27"",""__unique"":[""datetime""],""__label"":""date""}"
6283,date,"{""datetime"":""1937-05-25"",""__unique"":[""datetime""],""__label"":""date""}"
6914,date,"{""datetime"":""1930-12-04"",""__unique"":[""datetime""],""__label"":""date""}"
17645,date,"{""datetime"":""1911-06-11"",""__unique"":[""datetime""],""__label"":""date""}"
2368,date,"{""datetime"":""1911-07-12"",""__unique"":[""datetime""],""__label"":""date""}"
4775,date,"{""datetime"":""1923-05-05"",""__unique"":[""datetime""],""__label"":""date""}"
13453,date,"{""datetime"":""1924-05-24"",""__unique"":[""datetime""],""__label"":""date""}"
5874,date,"{""datetime"":""1912-09-22"",""__unique"":[""datetime""],""__label"":""date""}"
12386,date,"{""datetime"":""1921-10-15"",""__unique"":[""datetime""],""__label"":""date""}"
7898,date,"{""datetime"":""1927-07-13"",""__unique"":[""datetime""],""__label"":""date""}"
5971,date,"{""datetime"":""1910-11-27"",""__unique"":[""datetime""],""__label"":""date""}"
16552,date,"{""datetime"":""1909-09-18"",""__unique"":[""datetime""],""__label"":""date""}"
1740,date,"{""datetime"":""1930-07-09"",""__unique"":[""datetime""],""__label"":""date""}"
2901,date,"{""datetime"":""1911-01-02"",""__unique"":[""datetime""],""__label"":""date""}"
15565,date,"{""datetime"":""1928-01-28"",""__unique"":[""datetime""],""__label"":""date""}"
10064,date,"{""datetime"":""1933-12-29"",""__unique"":[""datetime""],""__label"":""date""}"
10416,date,"{""datetime"":""1909-07-19"",""__unique"":[""datetime""],""__label"":""date""}"
13682,date,"{""datetime"":""1931-07-20"",""__unique"":[""datetime""],""__label"":""date""}"
9546,date,"{""datetime"":""1917-09-16"",""__unique"":[""datetime""],""__label"":""date""}"
7505,date,"{""datetime"":""1825-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
12702,date,"{""datetime"":""1909-07-21"",""__unique"":[""datetime""],""__label"":""date""}"
5135,date,"{""datetime"":""1923-02-02"",""__unique"":[""datetime""],""__label"":""date""}"
15001,date,"{""datetime"":""1891-07-02"",""__unique"":[""datetime""],""__label"":""date""}"
910,date,"{""datetime"":""1890-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
3736,date,"{""datetime"":""1930-08-19"",""__unique"":[""datetime""],""__label"":""date""}"
1193,date,"{""datetime"":""1910-12-18"",""__unique"":[""datetime""],""__label"":""date""}"
12543,date,"{""datetime"":""1933-08-12"",""__unique"":[""datetime""],""__label"":""date""}"
5706,date,"{""datetime"":""1911-07-14"",""__unique"":[""datetime""],""__label"":""date""}"
10737,date,"{""datetime"":""1909-05-01"",""__unique"":[""datetime""],""__label"":""date""}"
1830,date,"{""datetime"":""1913-07-27"",""__unique"":[""datetime""],""__label"":""date""}"
6276,date,"{""datetime"":""1923-05-30"",""__unique"":[""datetime""],""__label"":""date""}"
165,date,"{""datetime"":""1921-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
18759,date,"{""datetime"":""1912-04-20"",""__unique"":[""datetime""],""__label"":""date""}"
3275,date,"{""datetime"":""1935-06-16"",""__unique"":[""datetime""],""__label"":""date""}"
15243,date,"{""datetime"":""1907-07-25"",""__unique"":[""datetime""],""__label"":""date""}"
1293,date,"{""datetime"":""1923-02-07"",""__unique"":[""datetime""],""__label"":""date""}"
6438,date,"{""datetime"":""1933-02-27"",""__unique"":[""datetime""],""__label"":""date""}"
12532,date,"{""datetime"":""1928-04-25"",""__unique"":[""datetime""],""__label"":""date""}"
14602,date,"{""datetime"":""1921-02-12"",""__unique"":[""datetime""],""__label"":""date""}"
595,date,"{""datetime"":""1932-06-16"",""__unique"":[""datetime""],""__label"":""date""}"
7688,date,"{""datetime"":""1921-02-14"",""__unique"":[""datetime""],""__label"":""date""}"
850,date,"{""datetime"":""1912-07-12"",""__unique"":[""datetime""],""__label"":""date""}"
10485,date,"{""datetime"":""1931-07-12"",""__unique"":[""datetime""],""__label"":""date""}"
2128,date,"{""datetime"":""1923-03-21"",""__unique"":[""datetime""],""__label"":""date""}"
3536,date,"{""datetime"":""1930-07-08"",""__unique"":[""datetime""],""__label"":""date""}"
5490,date,"{""datetime"":""1928-12-30"",""__unique"":[""datetime""],""__label"":""date""}"
3426,date,"{""datetime"":""1927-06-02"",""__unique"":[""datetime""],""__label"":""date""}"
